Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-06-25,20:15 (13:15),Premier League,Matchweek 31,Thu,Home,W,2,1,Manchester City,3.2,0.8,35,,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,
2020-06-28,16:00 (09:00),FA Cup,Quarter-finals,Sun,Away,W,1,0,Leicester City,,,52,,Willian,4-3-3,Mike Dean,Match Report,
2020-07-01,20:15 (13:15),Premier League,Matchweek 32,Wed,Away,L,2,3,West Ham,1.6,2.2,71,,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2020-07-04,20:00 (13:00),Premier League,Matchweek 33,Sat,Home,W,3,0,Watford,2.5,0.6,70,,César Azpilicueta,4-3-3,Kevin Friend,Match Report,
2020-07-07,18:00 (11:00),Premier League,Matchweek 34,Tue,Away,W,3,2,Crystal Palace,1.9,1.5,57,,César Azpilicueta,4-3-3,David Coote,Match Report,
2020-07-11,17:30 (10:30),Premier League,Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,1.2,2.3,76,,César Azpilicueta,4-3-3,Andre Marriner,Match Report,
2020-07-14,20:15 (13:15),Premier League,Matchweek 36,Tue,Home,W,1,0,Norwich City,2.5,0.1,67,,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,
2020-07-19,18:00 (11:00),FA Cup,Semi-finals,Sun,Neutral,W,3,1,Manchester Utd,,,49,,César Azpilicueta,3-4-3,Mike Dean,Match Report,
2020-07-22,20:15 (13:15),Premier League,Matchweek 37,Wed,Away,L,3,5,Liverpool,2.4,1.7,50,,César Azpilicueta,3-4-3,Andre Marriner,Match Report,
2020-07-26,16:00 (09:00),Premier League,Matchweek 38,Sun,Home,W,2,0,Wolves,1.4,0.2,62,,César Azpilicueta,3-4-3,Stuart Attwell,Match Report,
2020-08-01,17:30 (10:30),FA Cup,Final,Sat,Neutral,L,1,2,Arsenal,,,60,,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,
2020-08-08,21:00 (13:00),Champions Lg,Round of 16,Sat,Away,L,1,4,de Bayern Munich,1.0,2.9,37,,N'Golo Kanté,4-4-2,Ovidiu Hațegan,Match Report,Leg 2 of 2; Bayern Munich won
